group	side	ckey	rawpath	value	site
max_outliers	S5_代码兜底	max_outliers		10 ×2 (value("k",d),成员/赋值 p.esd.k=) @lib/algorithms/coverage/src/rejection.cpp:1253; lib/algorithms/coverage/src/stage2_common.cpp:401	2 处 / 2 个位点（前 4: value("k",d); 成员/赋值 p.esd.k=）；全量见 side5_位点.log
max_stars	S5_代码兜底	max_stars		5000 ×2 (value("k",d)) @lib/infrastructure/scheduler/src/module_adapters.cpp:4288; lib/infrastructure/scheduler/src/module_adapters.cpp:5532 ## kP1GuidedMaxStarsLo ×2 (value("k",d),声明/赋值 k=) @lib/infrastructure/scheduler/src/module_adapters.cpp:3309; lib/infrastructure/scheduler/src/module_adapters.cpp:3346 ## 2000 ×1 (声明/赋值 k=) @lib/infrastructure/pipeline/orchestrator/cpp/include/json_config.h:43 ## 300 ×1 (声明/赋值 k=) @lib/algorithms/platesolve/cpp/ipv/include/ipv_robust_refine.h:44	6 处 / 2 个位点（前 4: value("k",d); 声明/赋值 k=）；全量见 side5_位点.log
max_systematic_deviation	S5_代码兜底	max_systematic_deviation		0.0 ×1 (声明/赋值 k=) @lib/infrastructure/aio/v6/include/astro/aio/v6_provenance.h:46	1 处 / 1 个位点（前 4: 声明/赋值 k=）；全量见 side5_位点.log
mean_abs_rho	S5_代码兜底	mean_abs_rho		0.0 ×1 (声明/赋值 k=) @lib/infrastructure/aio/v6/include/astro/aio/v6_provenance.h:60	1 处 / 1 个位点（前 4: 声明/赋值 k=）；全量见 side5_位点.log
median	S5_代码兜底	median		0.0 ×2 (value("k",d),声明/赋值 k=) @lib/include/astrocs/core/master_unit_guard.h:62; lib/infrastructure/benchmark/backend_host/profile_gen_v2.cpp:703 ## -1.0 ×1 (value("k",d)) @lib/infrastructure/benchmark/backend_host/cpu_routing.cpp:336	3 处 / 2 个位点（前 4: value("k",d); 声明/赋值 k=）；全量见 side5_位点.log
median_target	S5_代码兜底	median_target		0.0 ×2 (value("k",d)) @lib/algorithms/integration/v6_phase1/src/phase1_product.cpp:1118; lib/algorithms/integration/v6_phase1/src/phase1_product.cpp:1233	2 处 / 1 个位点（前 4: value("k",d)）；全量见 side5_位点.log
memory_limit_bytes	S5_代码兜底	memory_limit_bytes		0 ×6 (声明/赋值 k=,成员/赋值 rb.k=) @lib/include/astrocs/core/export_stream.h:67; lib/include/astrocs/core/mosaic_window.h:50; lib/include/astrocs/core/normalize_workflow.h:92; lib/include/astrocs/core/runtime.h:114	6 处 / 2 个位点（前 4: 声明/赋值 k=; 成员/赋值 rb.k=）；全量见 side5_位点.log
min_kept	S5_代码兜底	min_kept		4 ×2 (value("k",d),成员/赋值 p.minmax.k=) @lib/algorithms/coverage/src/rejection.cpp:1258; lib/algorithms/coverage/src/stage2_common.cpp:423	2 处 / 2 个位点（前 4: value("k",d); 成员/赋值 p.minmax.k=）；全量见 side5_位点.log
min_patch_samples	S5_代码兜底	min_patch_samples		64 ×1 (成员/赋值 cfg->k=) @lib/algorithms/noise_snr/cpp/src/noise_model.cpp:1255	1 处 / 1 个位点（前 4: 成员/赋值 cfg->k=）；全量见 side5_位点.log
model_error	S5_代码兜底	model_error		0.0 ×1 (声明/赋值 k=) @lib/infrastructure/aio/v6/include/astro/aio/v6_provenance.h:48	1 处 / 1 个位点（前 4: 声明/赋值 k=）；全量见 side5_位点.log
n_blocks	S5_代码兜底	n_blocks		0 ×5 (声明/赋值 k=,成员/赋值 frame->k=,成员/赋值 tmp->k=) @lib/infrastructure/aio/src/aio_pipeline.cpp:1072; lib/infrastructure/aio/src/aio_pipeline.cpp:1207; lib/infrastructure/aio/src/aio_pipeline.cpp:1239; lib/infrastructure/aio/src/aio_pipeline.cpp:316	5 处 / 3 个位点（前 4: 声明/赋值 k=; 成员/赋值 frame->k=; 成员/赋值 tmp->k=）；全量见 side5_位点.log
n_common	S5_代码兜底	n_common		0 ×6 (value("k",d),声明/赋值 k=) @lib/algorithms/integration/v6_phase1/include/astrocs/v6/phase1_product.h:170; lib/algorithms/integration/v6_phase1/src/phase1_product.cpp:1241; lib/algorithms/photometry/cpp/src/psfsw.cpp:396; lib/algorithms/photometry/include/astrocs/v6/psfsw.h:258	6 处 / 2 个位点（前 4: value("k",d); 声明/赋值 k=）；全量见 side5_位点.log
n_frames	S5_代码兜底	n_frames		1 ×4 (声明/赋值 k=,成员/赋值 m.k=) @lib/include/astrocs/core/plan_estimator.h:95; lib/infrastructure/scheduler/src/module_adapters.cpp:13095; lib/infrastructure/scheduler/src/module_adapters.cpp:13102; lib/infrastructure/scheduler/src/runtime.cpp:75 ## 0 ×3 (声明/赋值 k=) @lib/algorithms/calibration/src/module_entry.cpp:942; lib/algorithms/coverage/include/astro/phase2/stage2_common.h:238; lib/algorithms/integration/v6_phase1/include/astrocs/v6/phase1_product.h:203	7 处 / 2 个位点（前 4: 声明/赋值 k=; 成员/赋值 m.k=）；全量见 side5_位点.log
nested	S5_代码兜底	nested		true ×2 (声明/赋值 k=) @lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.h:26; lib/algorithms/drizzle/healpix_drizzle/reverse_drizzle.h:29 ## 1 ×1 (value("k",d)) @lib/infrastructure/scheduler/src/module_adapters.cpp:7508	3 处 / 2 个位点（前 4: value("k",d); 声明/赋值 k=）；全量见 side5_位点.log
normalization	S5_代码兜底	normalization		P2_NORMALIZE_MEDIAN_CENTER ×3 (成员/赋值 p.k=,成员/赋值 plan.k=) @lib/algorithms/coverage/src/acr_kernels.cpp:101; lib/algorithms/coverage/src/rejection.cpp:1243; lib/algorithms/coverage/tools/rejection_cli.cpp:179 ## P2_NORMALIZE_NONE ×2 (成员/赋值 p.k=,成员/赋值 plan.k=) @lib/algorithms/coverage/src/rejection.cpp:1305; lib/algorithms/coverage/tools/rejection_cli.cpp:176 ## P2_NORMALIZE_MEDIAN_SCALE ×1 (成员/赋值 plan.k=) @lib/algorithms/coverage/tools/rejection_cli.cpp:182	6 处 / 2 个位点（前 4: 成员/赋值 p.k=; 成员/赋值 plan.k=）；全量见 side5_位点.log
nside	S5_代码兜底	nside		0 ×30 (value("k",d),初始化列表 k(…),声明/赋值 k=,成员/赋值 leaf.k=) @lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:260; lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.h:108; lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.h:131; lib/algorithms/drizzle/healpix_drizzle/reverse_drizzle.h:28 ## 16 ×2 (声明/赋值 k=) @lib/infrastructure/pipeline/orchestrator/cpp/src/orchestrator.cpp:203; lib/infrastructure/pipeline/orchestrator/cpp/src/orchestrator.cpp:209 ## NSIDE_MAX ×2 (声明/赋值 k=) @lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:722; lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:731 ## 1 ×1 (声明/赋值 k=) @lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:718 ## 2 ×1 (声明/赋值 k=) @lib/algorithms/integration/v6_phase1/include/astrocs/v6/phase1_product.h:92 ## 32768 ×1 (声明/赋值 k=) @lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.h:25 ## 4194304 ×1 (声明/赋值 k=) @lib/infrastructure/pipeline/orchestrator/cpp/src/orchestrator.cpp:210 ## NSIDE_MIN ×1 (声明/赋值 k=) @lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:730	39 处 / 4 个位点（前 4: value("k",d); 初始化列表 k(…); 声明/赋值 k=; 成员/赋值 leaf.k=）；全量见 side5_位点.log
numa_nodes	S5_代码兜底	numa_nodes		0 ×2 (声明/赋值 k=) @lib/infrastructure/benchmark/backend_host/hardware_inspect.cpp:246; lib/infrastructure/benchmark/backend_host/worker_advisor.h:53 ## 0u ×2 (value("k",d)) @lib/infrastructure/benchmark/backend_host/worker_advisor.cpp:129; lib/infrastructure/benchmark/backend_host/worker_advisor.cpp:138	4 处 / 2 个位点（前 4: value("k",d); 声明/赋值 k=）；全量见 side5_位点.log
order	S5_代码兜底	order		0 ×22 (value("k",d),声明/赋值 k=,成员/赋值 f.k=,成员/赋值 out.spatial.k=,成员/赋值 result->sip.k=,成员/赋值 result.k=) @lib/algorithms/calibration/src/photometry_apply.h:63; lib/algorithms/drizzle/healpix_drizzle/fits_reader.h:16; lib/algorithms/photometry/cpp/src/frame_photometry_fit.cpp:356; lib/algorithms/photometry/cpp/src/spatial_gain.cpp:322 ## 1 ×3 (声明/赋值 k=) @lib/algorithms/platesolve/cpp/ipv/include/ipv_itertrans.h:100; lib/algorithms/platesolve/cpp/ipv/include/ipv_itertrans.h:114; lib/algorithms/platesolve/cpp/ipv/include/ipv_itertrans.h:43 ## TRANS_ORDER ×3 (成员/赋值 t.k=,成员/赋值 trans_cur.k=,成员/赋值 trans_out.k=) @lib/algorithms/platesolve/cpp/ipv/src/ipv_robust_refine.cpp:114; lib/algorithms/platesolve/cpp/ipv/src/ipv_robust_refine.cpp:679; lib/algorithms/platesolve/cpp/ipv/src/ipv_robust_refine.cpp:936 ## -1 ×2 (声明/赋值 k=) @lib/algorithms/coverage/hips_properties.h:13; lib/infrastructure/scheduler/src/module_adapters.cpp:13998 ## " + std::to_string(infos[i].max_leaf_order) + " ×1 (声明/赋值 k=) @lib/algorithms/coverage/tools/stage2.cpp:241 ## " + std::to_string(m->info.target_order) + " ×1 (声明/赋值 k=) @lib/algorithms/coverage/src/upm.cpp:2006 ## " + std::to_string(view.inputs[i].max_leaf_order) + " ×1 (声明/赋值 k=) @lib/infrastructure/scheduler/src/module_adapters.cpp:9157 ## 0ull ×1 (value("k",d)) @lib/infrastructure/scheduler/src/module_adapters.cpp:9124 ## 3 ×1 (声明/赋值 k=) @lib/algorithms/platesolve/cpp/ipv/include/ipv_sip.h:52	35 处 / 9 个位点（前 4: value("k",d); 声明/赋值 k=; 成员/赋值 f.k=; 成员/赋值 out.spatial.k=）；全量见 side5_位点.log
ordering	S5_代码兜底	ordering		"nested" ×1 (声明/赋值 k=) @lib/infrastructure/pipeline/orchestrator/cpp/include/json_config.h:70	1 处 / 1 个位点（前 4: 声明/赋值 k=）；全量见 side5_位点.log
output_dir	S5_代码兜底	output_dir		"run" ×1 (成员/赋值 config_.k=) @lib/infrastructure/pipeline/orchestrator/cpp/src/orchestrator.cpp:576	1 处 / 1 个位点（前 4: 成员/赋值 config_.k=）；全量见 side5_位点.log
parity	S5_代码兜底	parity		"east_left" ×4 (声明/赋值 k=) @lib/algorithms/projection/p3_proj_v6.cpp:446; lib/algorithms/projection/p3_projection.cpp:328; lib/algorithms/projection/p3_wcs.cpp:102; lib/infrastructure/scheduler/src/module_adapters.cpp:13524 ## "pos" ×1 (声明/赋值 k=) @lib/infrastructure/scheduler/src/module_adapters.cpp:3315	5 处 / 1 个位点（前 4: 声明/赋值 k=）；全量见 side5_位点.log
phase	S5_代码兜底	phase		1 ×5 (成员/赋值 out_desc->k=) @lib/algorithms/calibration/src/module_entry.cpp:1186; lib/algorithms/cosmetic/src/module_entry.cpp:938; lib/algorithms/drizzle/hips/src/module_entry.cpp:596; lib/algorithms/drizzle/src/module_entry.cpp:542 ## "stage" ×1 (value("k",d)) @lib/infrastructure/cli/protocol.h:26	6 处 / 2 个位点（前 4: value("k",d); 成员/赋值 out_desc->k=）；全量见 side5_位点.log
photometric	S5_代码兜底	photometric		"PHOTOMETRIC" ×1 (具名常量 PHOTOMETRIC) @lib/infrastructure/pipeline/orchestrator/cpp/include/resource_monitor.h:44	1 处 / 1 个位点（前 4: 具名常量 PHOTOMETRIC）；全量见 side5_位点.log
pipeline	S5_代码兜底	pipeline		"stage1" ×1 (声明/赋值 k=) @lib/infrastructure/pipeline/orchestrator/cpp/include/json_config.h:23	1 处 / 1 个位点（前 4: 声明/赋值 k=）；全量见 side5_位点.log
pixel_area_power	S5_代码兜底	pixel_area_power		0 ×9 (value("k",d),声明/赋值 k=) @lib/algorithms/drizzle/healpix_drizzle/v6_drizzle_science.h:347; lib/algorithms/drizzle/healpix_drizzle/v6_drizzle_science.h:362; lib/algorithms/integration/v6/src/phase2_integrate.cpp:1123; lib/algorithms/integration/v6_phase1/include/astrocs/v6/phase1_product.h:151 ## -2 ×3 (声明/赋值 k=,成员/赋值 p.units.k=) @lib/algorithms/integration/v6/src/phase2_integrate.cpp:439; lib/algorithms/integration/v6_phase1/include/astrocs/v6/phase1_product.h:39; lib/phase3_session/p3_v6_export.cpp:265	12 处 / 3 个位点（前 4: value("k",d); 声明/赋值 k=; 成员/赋值 p.units.k=）；全量见 side5_位点.log
semantics	S5_代码兜底	pixel_semantics		"surface_brightness" ×5 (声明/赋值 k=,成员/赋值 p.k=,成员/赋值 p.units.k=) @lib/algorithms/integration/v6/src/phase2_integrate.cpp:438; lib/algorithms/integration/v6/src/phase2_integrate.cpp:444; lib/algorithms/integration/v6_phase1/include/astrocs/v6/phase1_product.h:38; lib/phase3_session/p3_v6_export.cpp:264	5 处 / 3 个位点（前 4: 声明/赋值 k=; 成员/赋值 p.k=; 成员/赋值 p.units.k=）；全量见 side5_位点.log
pixfrac	S5_代码兜底	pixfrac		1.0 ×15 (value("k",d),声明/赋值 k=,成员/赋值 grid.k=,成员/赋值 hmeta.k=,成员/赋值 p.k_corr.domain.k=) @lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.h:27; lib/algorithms/drizzle/healpix_drizzle/reverse_drizzle.h:39; lib/algorithms/drizzle/healpix_drizzle/v6_spherical_overlap.h:35; lib/algorithms/drizzle/src/module_entry.cpp:359 ## 0.0 ×3 (声明/赋值 k=) @lib/algorithms/coverage/src/sampler.cpp:122; lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:54; lib/infrastructure/aio/v6/include/astro/aio/v6_provenance.h:71 ## 0.8 ×3 (contains("k")?x:d,声明/赋值 k=,成员/赋值 p.k_corr.domain.k=) @lib/algorithms/integration/v6/src/phase2_integrate.cpp:475; lib/infrastructure/pipeline/orchestrator/cpp/include/json_config.h:67; lib/infrastructure/pipeline/orchestrator/cpp/src/json_config.cpp:712	21 处 / 6 个位点（前 4: contains("k")?x:d; value("k",d); 声明/赋值 k=; 成员/赋值 grid.k=）；全量见 side5_位点.log
platesolve	S5_代码兜底	platesolve		"PLATESOLVE" ×1 (具名常量 PLATESOLVE) @lib/infrastructure/pipeline/orchestrator/cpp/include/resource_monitor.h:42	1 处 / 1 个位点（前 4: 具名常量 PLATESOLVE）；全量见 side5_位点.log
precision_mode	S5_代码兜底	precision_mode		0 ×4 (声明/赋值 k=,成员/赋值 config.k=) @lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.h:39; lib/algorithms/drizzle/healpix_drizzle/hp_drizzle_api.cpp:999; lib/infrastructure/aio/include/hiss_format.h:326; lib/infrastructure/pipeline/orchestrator/cpp/src/main.cpp:144 ## 1 ×4 (成员/赋值 config.k=,成员/赋值 pimpl_->metadata.k=) @lib/algorithms/drizzle/healpix_drizzle/hp_drizzle_api.cpp:992; lib/algorithms/drizzle/healpix_drizzle/hp_drizzle_api.cpp:996; lib/infrastructure/aio/src/hiss_writer.cpp:804; lib/infrastructure/aio/src/hiss_writer.cpp:980 ## -1 ×1 (value("k",d)) @lib/infrastructure/scheduler/src/module_adapters.cpp:7523 ## -1.0 ×1 (value("k",d)) @lib/infrastructure/pipeline/orchestrator/cpp/src/orchestrator.cpp:3548	10 处 / 4 个位点（前 4: value("k",d); 声明/赋值 k=; 成员/赋值 config.k=; 成员/赋值 pimpl_->metadata.k=）；全量见 side5_位点.log
family	S5_代码兜底	product_family		"phase2_point_source" ×2 (声明/赋值 k=,成员/赋值 as.k=) @lib/algorithms/integration/v6/src/phase2_integrate.cpp:1007; lib/algorithms/integration/v6/src/phase2_integrate.cpp:385	2 处 / 2 个位点（前 4: 声明/赋值 k=; 成员/赋值 as.k=）；全量见 side5_位点.log
projection	S5_代码兜底	projection		"TAN" ×4 (具名常量 projection,声明/赋值 k=,成员/赋值 d->k=) @lib/algorithms/projection/p3_wcs.h:22; lib/infrastructure/scheduler/src/module_adapters.cpp:13527; lib/infrastructure/scheduler/src/module_adapters.cpp:13818 ## nullptr ×2 (contains("k")?x:d) @lib/infrastructure/cli/runtime_client.cpp:68; lib/infrastructure/scheduler/src/module_adapters.cpp:13546	6 处 / 4 个位点（前 4: contains("k")?x:d; 具名常量 projection; 声明/赋值 k=; 成员/赋值 d->k=）；全量见 side5_位点.log
propagation	S5_代码兜底	propagation		"C_out = R C_in R^T" ×2 (声明/赋值 k=,成员/赋值 rec.k=) @lib/algorithms/calibration/include/astrocs/calibration/v6_calibration_covariance.h:314; lib/algorithms/calibration/src/v6_calibration_covariance.cpp:658	2 处 / 2 个位点（前 4: 声明/赋值 k=; 成员/赋值 rec.k=）；全量见 side5_位点.log
provider	S5_代码兜底	provider		"baseline" ×14 (value("k",d),成员/赋值 d.k=,成员/赋值 e.k=,成员/赋值 r.k=,成员/赋值 w.k=) @lib/infrastructure/benchmark/backend_host/bench_report.cpp:113; lib/infrastructure/benchmark/backend_host/cpu_routing.cpp:173; lib/infrastructure/benchmark/backend_host/cpu_routing.cpp:181; lib/infrastructure/benchmark/backend_host/cpu_routing.cpp:198 ## "cpu_baseline" ×3 (声明/赋值 k=) @lib/algorithms/integration/v6/include/astrocs/v6/phase2_integrate.h:129; lib/algorithms/integration/v6_phase1/include/astrocs/v6/phase1_product.h:113; lib/phase3_session/p3_v6_export.h:161 ## "" ×2 (value("k",d)) @lib/infrastructure/benchmark/backend_host/bench_report.cpp:375; lib/infrastructure/benchmark/backend_host/profile_gen_v2.cpp:698 ## "approximations" ×1 (value("k",d)) @lib/infrastructure/aio/v6/src/v6_provenance.cpp:56	20 处 / 6 个位点（前 4: value("k",d); 声明/赋值 k=; 成员/赋值 d.k=; 成员/赋值 e.k=）；全量见 side5_位点.log
psf	S5_代码兜底	psf		"PSF" ×1 (具名常量 PSF) @lib/infrastructure/pipeline/orchestrator/cpp/include/resource_monitor.h:43 ## AIO_BLOCK_FLOAT64 ×1 (value("k",d)) @lib/infrastructure/pipeline/orchestrator/cpp/src/orchestrator.cpp:2400	2 处 / 2 个位点（前 4: value("k",d); 具名常量 PSF）；全量见 side5_位点.log
psfsw_robust_weight	S5_代码兜底	psfsw_robust_weight		"1" ×1 (声明/赋值 k=) @lib/algorithms/integration/v6_phase1/include/astrocs/v6/phase1_product.h:36 ## "psfsw" ×1 (value("k",d)) @lib/algorithms/coverage/src/coverage.cpp:396	2 处 / 2 个位点（前 4: value("k",d); 声明/赋值 k=）；全量见 side5_位点.log
ra_deg	S5_代码兜底	ra_deg		0.0 ×3 (value("k",d),声明/赋值 k=) @lib/algorithms/shared/healpix/healpix_core.cpp:249; lib/infrastructure/scheduler/src/module_adapters.cpp:9530; lib/infrastructure/scheduler/src/module_adapters.cpp:9551	3 处 / 2 个位点（前 4: value("k",d); 声明/赋值 k=）；全量见 side5_位点.log
ram_bytes	S5_代码兜底	ram_bytes		0ull ×3 (value("k",d)) @lib/infrastructure/benchmark/backend_host/worker_advisor.cpp:130; lib/infrastructure/benchmark/backend_host/worker_advisor.cpp:139; lib/infrastructure/cli/commands.cpp:2316 ## 0 ×1 (声明/赋值 k=) @lib/infrastructure/benchmark/backend_host/worker_advisor.h:54	4 处 / 2 个位点（前 4: value("k",d); 声明/赋值 k=）；全量见 side5_位点.log
rank	S5_代码兜底	rank		0 ×2 (声明/赋值 k=) @lib/algorithms/calibration/include/astrocs/calibration/v6_calibration_covariance.h:130; lib/algorithms/integration/v6/include/astrocs/v6/phase2_integrate.h:237	2 处 / 1 个位点（前 4: 声明/赋值 k=）；全量见 side5_位点.log
read	S5_代码兜底	read		0 ×1 (声明/赋值 k=) @lib/infrastructure/scheduler/src/mosaic_window.cpp:153	1 处 / 1 个位点（前 4: 声明/赋值 k=）；全量见 side5_位点.log
read_noise	S5_代码兜底	read_noise		0.0 ×1 (声明/赋值 k=) @lib/algorithms/calibration/include/astrocs/calibration/v6_calibration_covariance.h:109	1 处 / 1 个位点（前 4: 声明/赋值 k=）；全量见 side5_位点.log
reason	S5_代码兜底	reason		"provenance_curve_stats_mismatch" ×6 (成员/赋值 id.mismatch.k=) @lib/algorithms/photometry/cpp/src/filter_curve_json.h:291; lib/algorithms/photometry/cpp/src/filter_curve_json.h:299; lib/algorithms/photometry/cpp/src/filter_curve_json.h:307; lib/algorithms/photometry/cpp/src/filter_curve_json.h:322 ## "fallback" ×5 (成员/赋值 d.openmp.k=) @lib/infrastructure/acr/routing/benchmark_route_estimator.cpp:420; lib/infrastructure/acr/routing/benchmark_route_estimator.cpp:431; lib/infrastructure/acr/routing/benchmark_route_estimator.cpp:447; lib/infrastructure/acr/routing/benchmark_route_estimator.cpp:460 ## "covariance_propagation_failed" ×2 (成员/赋值 out.k=) @lib/algorithms/resample/p3_rsmp_propagation.cpp:105; lib/algorithms/resample/p3_rsmp_propagation.cpp:219 ## "input_dimension_mismatch" ×2 (成员/赋值 out.k=) @lib/algorithms/resample/p3_rsmp_propagation.cpp:166; lib/algorithms/resample/p3_rsmp_propagation.cpp:96 ## "open_failed" ×2 (成员/赋值 r.k=) @lib/infrastructure/aio/src/aio_sparse_punch.h:496; lib/infrastructure/aio/src/aio_sparse_punch.h:646 ## "post_hash_failed" ×2 (成员/赋值 r.k=) @lib/infrastructure/aio/src/aio_sparse_punch.h:581; lib/infrastructure/aio/src/aio_sparse_punch.h:668 ## "pre_hash_failed" ×2 (成员/赋值 r.k=) @lib/infrastructure/aio/src/aio_sparse_punch.h:479; lib/infrastructure/aio/src/aio_sparse_punch.h:640 ## "profile-e2e" ×2 (成员/赋值 p.k=) @lib/infrastructure/acr/routing/benchmark_route_estimator.cpp:489; lib/infrastructure/acr/routing/benchmark_route_estimator.cpp:523 ## "readback_mismatch" ×2 (成员/赋值 r.k=) @lib/infrastructure/aio/src/aio_sparse_punch.h:584; lib/infrastructure/aio/src/aio_sparse_punch.h:671 ## "stat_failed" ×2 (成员/赋值 r.k=) @lib/infrastructure/aio/src/aio_sparse_punch.h:463; lib/infrastructure/aio/src/aio_sparse_punch.h:633 ## "vram-insufficient" ×2 (成员/赋值 p.k=) @lib/infrastructure/acr/routing/benchmark_route_estimator.cpp:526; lib/infrastructure/acr/routing/benchmark_route_estimator.cpp:576 ## P2_REASON_ACCEPTED ×2 (声明/赋值 k=) @lib/algorithms/coverage/src/rejection.cpp:2790; lib/algorithms/coverage/src/rejection.cpp:2850 ## SNR_DROP_INVALID_PSF ×2 (声明/赋值 k=) @lib/infrastructure/pipeline/orchestrator/cpp/src/orchestrator.cpp:4533; lib/infrastructure/pipeline/orchestrator/cpp/src/orchestrator.cpp:4537 ## nullptr ×2 (具名常量 reason,声明/赋值 k=) @lib/algorithms/noise_snr/include/astrocs/v6/information_weight.h:72 …(本键另有 96 种字面量，见 side5_位点.log)	131 处 / 11 个位点（前 4: 具名常量 reason; 声明/赋值 k=; 成员/赋值 d.k=; 成员/赋值 d.openmp.k=）；全量见 side5_位点.log
reconstruction_operator	S5_代码兜底	reconstruction_operator		"bilinear_regular_grid_v1" ×1 (成员/赋值 L.k=) @lib/algorithms/integration/v6/oracle/weight_chain_selfcheck.cpp:322 ## "natural_bicubic_spline_clip_mesh_median_v1" ×1 (成员/赋值 L.k=) @lib/algorithms/integration/v6/oracle/weight_chain_selfcheck.cpp:337 ## "natural_bicubic_spline_clip_v1" ×1 (成员/赋值 S.k=) @lib/algorithms/integration/v6/oracle/weight_chain_selfcheck.cpp:676 ## "nearest_control_point_v1" ×1 (成员/赋值 L.k=) @lib/algorithms/integration/v6/oracle/weight_chain_selfcheck.cpp:667 ## "spline_natural_v1" ×1 (成员/赋值 L.k=) @lib/algorithms/integration/v6/oracle/weight_chain_selfcheck.cpp:628	5 处 / 2 个位点（前 4: 成员/赋值 L.k=; 成员/赋值 S.k=）；全量见 side5_位点.log
reference_flux	S5_代码兜底	reference_flux		0.0 ×5 (声明/赋值 k=,成员/赋值 rec.k=) @lib/algorithms/integration/v6/include/astrocs/v6/weight_chain.h:268; lib/algorithms/photometry/cpp/src/pc_api.cpp:1024; lib/algorithms/photometry/cpp/src/pc_api.cpp:1138; lib/algorithms/photometry/cpp/src/pc_api.cpp:966	5 处 / 2 个位点（前 4: 声明/赋值 k=; 成员/赋值 rec.k=）；全量见 side5_位点.log
reject	S5_代码兜底	reject		nullptr ×28 (具名常量 reject,声明/赋值 k=) @lib/algorithms/noise_snr/include/astrocs/v6/information_weight.h:101; lib/algorithms/noise_snr/include/astrocs/v6/information_weight.h:124; lib/algorithms/noise_snr/include/astrocs/v6/information_weight.h:48; lib/algorithms/noise_snr/include/astrocs/v6/information_weight.h:81 ## "non_finite" ×3 (成员/赋值 out.k=,成员/赋值 rep.k=,成员/赋值 s.k=) @lib/algorithms/noise_snr/cpp/src/information_weight.cpp:220; lib/algorithms/noise_snr/cpp/src/information_weight.cpp:256; lib/algorithms/psf/src/psf_information.cpp:36 ## "null_input" ×3 (成员/赋值 out.k=,成员/赋值 rep.k=) @lib/algorithms/noise_snr/cpp/src/information_weight.cpp:212; lib/algorithms/noise_snr/cpp/src/information_weight.cpp:251; lib/algorithms/noise_snr/cpp/src/information_weight.cpp:278 ## "negative_sample" ×2 (成员/赋值 out.k=,成员/赋值 s.k=) @lib/algorithms/noise_snr/cpp/src/information_weight.cpp:226; lib/algorithms/psf/src/psf_information.cpp:40 ## "no_frames" ×2 (成员/赋值 out.k=,成员/赋值 res.k=) @lib/algorithms/photometry/cpp/src/psfsw.cpp:294; lib/algorithms/photometry/cpp/src/psfsw.cpp:655 ## "background_nonpositive" ×1 (成员/赋值 res.k=) @lib/algorithms/photometry/cpp/src/psfsw.cpp:302 ## "coefficient_size_mismatch" ×1 (成员/赋值 out.k=) @lib/algorithms/psf/src/psf_information.cpp:140 ## "covariance_size_mismatch" ×1 (成员/赋值 out.k=) @lib/algorithms/photometry/cpp/src/psfsw.cpp:656 ## "degenerate_component" ×1 (成员/赋值 res.k=) @lib/algorithms/photometry/cpp/src/psfsw.cpp:309 ## "depth_instability" ×1 (成员/赋值 out.k=) @lib/algorithms/photometry/cpp/src/psfsw.cpp:510 ## "depth_monotonic_drift" ×1 (成员/赋值 out.k=) @lib/algorithms/photometry/cpp/src/psfsw.cpp:515 ## "depth_span_below_min" ×1 (成员/赋值 out.k=) @lib/algorithms/photometry/cpp/src/psfsw.cpp:471 ## "empty_effective_psf_id" ×1 (成员/赋值 out.k=) @lib/algorithms/psf/src/psf_information.cpp:144 ## "empty_support" ×1 (成员/赋值 s.k=) @lib/algorithms/psf/src/psf_information.cpp:44 …(本键另有 36 种字面量，见 side5_位点.log)	83 处 / 8 个位点（前 4: value("k",d); 具名常量 reject; 声明/赋值 k=; 成员/赋值 e.k=）；全量见 side5_位点.log
repeats	S5_代码兜底	repeats		5 ×1 (具名常量 kRepeats) @lib/infrastructure/acr/examples/weighted_integration/route_profile_calibration.cpp:81 ## 7 ×1 (具名常量 kRepeats) @lib/infrastructure/acr/qualification/focused/focused_benchmark.cpp:22 ## kRepeats ×1 (成员/赋值 op.sample_range.k=) @lib/infrastructure/acr/qualification/focused/focused_benchmark.cpp:480	3 处 / 2 个位点（前 4: 具名常量 kRepeats; 成员/赋值 op.sample_range.k=）；全量见 side5_位点.log
