group	side	ckey	rawpath	value	site
schema_version	S3_CLI骨架	schema_version	schema_version	"1"	lib/infrastructure/cli/session_commands.h#config_fields(mosaic).schema_version
hips_paths	S3_CLI骨架	hips_paths	hips_paths	[]	lib/infrastructure/cli/session_commands.h#config_fields(mosaic).hips_paths
coverage_index	S3_CLI骨架	coverage_index	coverage_index	该侧无此项(键名列进 --help；json==nullptr ⇒ 不写入模板)	lib/infrastructure/cli/session_commands.h#config_fields(mosaic).coverage_index
output_dir	S3_CLI骨架	output_dir	output_dir	"."	lib/infrastructure/cli/session_commands.h#config_fields(mosaic).output_dir
snr.path	S3_CLI骨架	snr_path	snr_path	"sparse_reconstruct"	lib/infrastructure/cli/session_commands.h#config_fields(mosaic).snr_path
upm	S3_CLI骨架	upm	upm	该侧无此项(键名列进 --help；json==nullptr ⇒ 不写入模板)	lib/infrastructure/cli/session_commands.h#config_fields(mosaic).upm
reject	S3_CLI骨架	reject	reject	该侧无此项(键名列进 --help；json==nullptr ⇒ 不写入模板)	lib/infrastructure/cli/session_commands.h#config_fields(mosaic).reject
algorithm_rejection_method	S3_CLI骨架	algorithm_rejection_method	algorithm_rejection_method	该侧无此项(键名列进 --help；json==nullptr ⇒ 不写入模板)	lib/infrastructure/cli/session_commands.h#config_fields(mosaic).algorithm_rejection_method
schema_version	S3_CLI骨架	schema_version	schema_version	"1"	lib/infrastructure/cli/session_commands.h#config_fields(export).schema_version
source	S3_CLI骨架	source	source	{"hips_dir": ""}	lib/infrastructure/cli/session_commands.h#config_fields(export).source
hips_dir	S3_CLI骨架	hips_dir	source.hips_dir	""	lib/infrastructure/cli/session_commands.h#config_fields(export).source
output_dir	S3_CLI骨架	output_dir	output_dir	"."	lib/infrastructure/cli/session_commands.h#config_fields(export).output_dir
center	S3_CLI骨架	center	center	{"ra_deg": 0.0, "dec_deg": 0.0}	lib/infrastructure/cli/session_commands.h#config_fields(export).center
ra_deg	S3_CLI骨架	ra_deg	center.ra_deg	0.0	lib/infrastructure/cli/session_commands.h#config_fields(export).center
dec_deg	S3_CLI骨架	dec_deg	center.dec_deg	0.0	lib/infrastructure/cli/session_commands.h#config_fields(export).center
width_px	S3_CLI骨架	width_px	width_px	1024	lib/infrastructure/cli/session_commands.h#config_fields(export).width_px
height_px	S3_CLI骨架	height_px	height_px	1024	lib/infrastructure/cli/session_commands.h#config_fields(export).height_px
scale_deg_per_px	S3_CLI骨架	scale_deg_per_px	scale_deg_per_px	0.001	lib/infrastructure/cli/session_commands.h#config_fields(export).scale_deg_per_px
rotation_deg	S3_CLI骨架	rotation_deg	rotation_deg	0.0	lib/infrastructure/cli/session_commands.h#config_fields(export).rotation_deg
crpix_px	S3_CLI骨架	crpix_px	crpix_px	[512.5,512.5]	lib/infrastructure/cli/session_commands.h#config_fields(export).crpix_px
crop	S3_CLI骨架	crop	crop	该侧无此项(键名列进 --help；json==nullptr ⇒ 不写入模板)	lib/infrastructure/cli/session_commands.h#config_fields(export).crop
bitpix	S3_CLI骨架	bitpix	bitpix	该侧无此项(键名列进 --help；json==nullptr ⇒ 不写入模板)	lib/infrastructure/cli/session_commands.h#config_fields(export).bitpix
projection	S3_CLI骨架	projection	projection	该侧无此项(键名列进 --help；json==nullptr ⇒ 不写入模板)	lib/infrastructure/cli/session_commands.h#config_fields(export).projection
