符号,预分档,位点数,跨文件数,值样例,值形态,有单位,登记面点名数,点名位置样例,来源现状样例,位点样例
recalc,残余D·语义未明（需读用途）,1,1,.2f,其他,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/platesolve/cpp/ipv/src/ipv_ransac.cpp:1042
recall,残余A·登记面点名但无支撑,1,1,0.0,小于 1 的小数,是,6,docs/algorithms/PHASE2_REJECTION.md ; docs/algorithms/REJECTION_ALGORITHMS.md ; docs/contracts/TEST_MATRIX.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/coverage/src/rejection.cpp:2532
reclaim_frac,残余A·登记面点名但无支撑,4,1,-1.0,一般数值,是,1,docs/KNOWN_LIMITATIONS.md,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/cli/memory_report.h:120 ; lib/infrastructure/cli/memory_report.h:232 ; lib/infrastructure/cli/memory_report.h:453 ; lib/infrastructure/cli/memory_report.h:497
reclaim_frac_alloc,残余B·带单位的科学量,2,1,-1.0,一般数值,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/cli/memory_report.h:121 ; lib/infrastructure/cli/memory_report.h:236
recompute_p50,残余D·语义未明（需读用途）,1,1,.2f,其他,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/hips_browser/healpix_browser_qt/app/browser_cli.cpp:432
recs,残余D·语义未明（需读用途）,1,1,10.0,一般数值,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/cli/commands.cpp:771
ref,局部量噪声（不入科学判读）,4,2,0.0,小于 1 的小数,是,22,docs/algorithms/PHASE2_UPM_IMPL.md ; docs/ci/CI_SPEC.md ; docs/contracts/CONFIG_CONTRACT.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/drizzle/healpix_drizzle/v6_drizzle_science.cpp:396 ; lib/algorithms/drizzle/healpix_drizzle/v6_drizzle_science.cpp:457 ; lib/algorithms/drizzle/healpix_drizzle/v6_drizzle_science.cpp:50
ref_flux,残余D·语义未明（需读用途）,2,2,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/integration/v6/include/astrocs/v6/weight_chain.h:270 ; lib/infrastructure/scheduler/src/module_adapters.cpp:11517
ref_flux_spread_rel,残余D·语义未明（需读用途）,1,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/scheduler/src/module_adapters.cpp:11470
ref_mag,残余D·语义未明（需读用途）,2,1,6.0,一般数值,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/scheduler/src/module_adapters.cpp:6941 ; lib/infrastructure/scheduler/src/module_adapters.cpp:6943
ref_mag_usable,残余D·语义未明（需读用途）,1,1,-30.0;60.0,其他,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/scheduler/src/module_adapters.cpp:6944
ref_sum,残余D·语义未明（需读用途）,1,1,0.0f,其他,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/acr/examples/minimal_parallel_for.cpp:44
reference_flux,残余A·登记面点名但无支撑,5,3,0.0,小于 1 的小数,是,2,docs/plugins/algorithms_phase1/07_noise_snr.md ; eng/packaging/config/config_registry.json,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/integration/v6/include/astrocs/v6/weight_chain.h:315 ; lib/algorithms/photometry/cpp/src/pc_api.cpp:961 ; lib/algorithms/photometry/cpp/src/pc_api.cpp:1019 ; lib/algorithms/photometry/c
reference_flux_adu,残余A·登记面点名但无支撑,3,2,0.0,小于 1 的小数,是,2,docs/contracts/DATA_SEMANTICS.md ; docs/plugins/algorithms_phase1/07_noise_snr.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/noise_snr/wrapper_phase1/snr_frame_science.h:59 ; lib/algorithms/noise_snr/wrapper_phase1/snr_frame_science.h:83 ; lib/infrastructure/scheduler/src/module_adapters.cpp:7180
reference_fwhm_px,残余B·带单位的科学量,1,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/noise_snr/wrapper_phase1/snr_frame_science.h:84
reference_sigma_f_adu,残余B·带单位的科学量,1,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/noise_snr/wrapper_phase1/snr_frame_science.h:86
reference_snr_f,残余B·带单位的科学量,1,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/noise_snr/wrapper_phase1/snr_frame_science.h:85
regret,残余D·语义未明（需读用途）,2,1,.3f | 0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/acr/examples/weighted_integration/route_profile_calibration.cpp:934 ; lib/infrastructure/acr/examples/weighted_integration/route_profile_calibration.cpp:963
rejection.averaged_sigma.lower_sigma,已有支撑（本轮不派）,1,1,4.0,一般数值,是,1,eng/packaging/config/defaults.json,有文献（三元组共用）,eng/packaging/config/defaults.json:373
rejection.averaged_sigma.max_iterations,已有支撑（本轮不派）,1,1,8,整数/整幂/科学计数,是,1,eng/packaging/config/defaults.json,有文献（三元组共用）,eng/packaging/config/defaults.json:401
rejection.averaged_sigma.upper_sigma,已有支撑（本轮不派）,1,1,3.0,一般数值,是,1,eng/packaging/config/defaults.json,有文献（三元组共用）,eng/packaging/config/defaults.json:387
rejection.esd.alpha,已有支撑（本轮不派）,1,1,0.05,小于 1 的小数,是,1,eng/packaging/config/defaults.json,有文献（SCI §5 冻结 0.05）,eng/packaging/config/defaults.json:457
rejection.esd.max_outliers,已有支撑（本轮不派）,1,1,10,一般数值,是,1,eng/packaging/config/defaults.json,有文献（SCI §5）,eng/packaging/config/defaults.json:471
rejection.large_scale.enabled,已有支撑（本轮不派）,1,1,false,其他,是,1,eng/packaging/config/defaults.json,有文献（SCI §5 默认关闭）,eng/packaging/config/defaults.json:527
rejection.linear_fit.lower_sigma,已有支撑（本轮不派）,1,1,5.0,一般数值,是,1,eng/packaging/config/defaults.json,有文献（SCI §5 linear_fit 5.0/3.5/8）,eng/packaging/config/defaults.json:415
rejection.linear_fit.max_iterations,已有支撑（本轮不派）,1,1,8,整数/整幂/科学计数,是,1,eng/packaging/config/defaults.json,有文献（SCI §5）,eng/packaging/config/defaults.json:443
rejection.linear_fit.upper_sigma,已有支撑（本轮不派）,1,1,3.5,一般数值,是,1,eng/packaging/config/defaults.json,有文献（SCI §5）,eng/packaging/config/defaults.json:429
rejection.minmax.min_kept,已有支撑（本轮不派）,1,1,4,整数/整幂/科学计数,是,1,eng/packaging/config/defaults.json,有文献（SCI §5 minmax 1/1/4）,eng/packaging/config/defaults.json:513
rejection.percentile.high,已有支撑（本轮不派）,1,1,0.1,小于 1 的小数,是,1,eng/packaging/config/defaults.json,有文献（SCI §5）,eng/packaging/config/defaults.json:499
rejection.percentile.low,已有支撑（本轮不派）,1,1,0.2,小于 1 的小数,是,1,eng/packaging/config/defaults.json,有文献（SCI §5 percentile low 0.2/high 0.1）,eng/packaging/config/defaults.json:485
rejection.sigma.lower_sigma,已有支撑（本轮不派）,1,1,4.0,一般数值,是,1,eng/packaging/config/defaults.json,有文献（SCI §5 阈值冻结锚点）,eng/packaging/config/defaults.json:289
rejection.sigma.max_iterations,已有支撑（本轮不派）,1,1,8,整数/整幂/科学计数,是,1,eng/packaging/config/defaults.json,有文献（同三元组）,eng/packaging/config/defaults.json:317
rejection.sigma.upper_sigma,已有支撑（本轮不派）,1,1,3.0,一般数值,是,1,eng/packaging/config/defaults.json,有文献（同三元组）,eng/packaging/config/defaults.json:303
rejection.winsorized.lower_sigma,已有支撑（本轮不派）,1,1,4.0,一般数值,是,1,eng/packaging/config/defaults.json,有文献（三元组共用）,eng/packaging/config/defaults.json:331
rejection.winsorized.max_iterations,已有支撑（本轮不派）,1,1,8,整数/整幂/科学计数,是,1,eng/packaging/config/defaults.json,有文献（三元组共用）,eng/packaging/config/defaults.json:359
rejection.winsorized.upper_sigma,已有支撑（本轮不派）,1,1,3.0,一般数值,是,1,eng/packaging/config/defaults.json,有文献（三元组共用）,eng/packaging/config/defaults.json:345
rel,局部量噪声（不入科学判读）,6,2,.1f;.2f | .2;.3 | .2;.3f | .2;.4f,小于 1 的小数,是,10,docs/algorithms/NOISE_ESTIMATION.md ; docs/algorithms/PHASE2_REJECTION.md ; docs/algorithms/PHASE2_UPM_IMPL.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/drizzle/healpix_drizzle/v6_spherical_overlap.cpp:164 ; lib/algorithms/noise_snr/cpp/test/noise_model_science_test.cpp:133 ; lib/algorithms/noise_snr/cpp/test/noise_model_science_test.cp
rel_err,残余D·语义未明（需读用途）,1,1,0.0f,其他,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/acr/examples/minimal_parallel_for.cpp:49
rel_improve,残余A·登记面点名但无支撑,3,1,0.0,小于 1 的小数,是,3,docs/algorithms/PHASE2_UPM_IMPL.md ; docs/contracts/DATA_SEMANTICS.md ; docs/plugins/algorithms_phase2/11_upm.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/coverage/src/upm.cpp:116 ; lib/algorithms/coverage/src/upm.cpp:1566 ; lib/algorithms/coverage/src/upm.cpp:1595
relative_growth_pct,残余D·语义未明（需读用途）,2,1,0.0 | 100.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/cli/memory_growth.h:47 ; lib/infrastructure/cli/memory_growth.h:87
reliability,残余A·登记面点名但无支撑,2,1,1.0,一般数值,是,3,docs/algorithms/PHASE2_UPM_IMPL.md ; docs/architecture/THREADING_MODEL.md ; docs/contracts/DATA_SEMANTICS.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/coverage/src/upm.cpp:72 ; lib/algorithms/coverage/src/upm.cpp:1667
render_fov_hor,残余D·语义未明（需读用途）,1,1,1.2,一般数值,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/hips_browser/healpix_browser_qt/core/gl_renderer.cpp:820
render_fov_ver,残余D·语义未明（需读用途）,1,1,1.2,一般数值,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/hips_browser/healpix_browser_qt/core/gl_renderer.cpp:819
representable,残余A·登记面点名但无支撑,1,1,0.0,小于 1 的小数,是,1,docs/science/CALIBRATION.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/calibration/src/v6_calibration_covariance.cpp:581
representable_scale_deg,残余B·带单位的科学量,1,1,2.0,一般数值,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/coverage/src/sky_plane.cpp:439
representable_scale_px,残余B·带单位的科学量,1,1,2.0,一般数值,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/coverage/src/sky_plane.cpp:442
required,残余A·登记面点名但无支撑,1,1,180.0,一般数值,是,70,docs/algorithms/PHASE2_COVERAGE.md ; docs/algorithms/PHASE2_REJECTION.md ; docs/api/CLI_PROTOCOL_V1.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/star_detection/src/sdet_angle_guard.h:51
required_memory_bandwidth_frac,残余B·带单位的科学量,1,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/cli/resource_gate.h:165
reruns,残余D·语义未明（需读用途）,1,1,8.3,一般数值,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/scheduler/src/module_adapters.cpp:1855
res_deg,残余A·登记面点名但无支撑,1,1,3600.0,一般数值,是,1,docs/science/PHASE3_HIPS_TO_FITS.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:1032
residency,残余A·登记面点名但无支撑,1,1,8.3,一般数值,是,1,docs/architecture/EXECUTION_MODEL.md,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/scheduler/src/mosaic_window.cpp:361
residual_improve_ratio,残余A·登记面点名但无支撑,3,1,0.0 | 0.5,小于 1 的小数,是,2,docs/contracts/DATA_SEMANTICS.md ; docs/science/PHASE2_UPM.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/coverage/src/sky_plane.cpp:1267 ; lib/algorithms/coverage/src/sky_plane.cpp:1296 ; lib/algorithms/coverage/src/sky_plane.cpp:1951
residual_trend_max,残余B·带单位的科学量,1,1,0.10,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/integration/v6/src/phase2_integrate.cpp:1435
result,残余A·登记面点名但无支撑,8,5,0.0 | 0.0;1.0 | 0.5;255.0 | 1.0;10.0,小于 1 的小数,是,15,docs/algorithms/PHASE2_INTEGRATION.md ; docs/algorithms/PHASE3_FITS_IMPL.md ; docs/algorithms/PLATESOLVE.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/noise_snr/cpp/src/snr_estimator.cpp:478 ; lib/algorithms/photometry/cpp/src/wcs_transform.cpp:95 ; lib/algorithms/platesolve/cpp/ipv/src/ipv_ransac.cpp:136 ; lib/algorithms/platesolve/c
ret,局部量噪声（不入科学判读）,6,3,.4f,其他,是,6,docs/algorithms/PHASE2_SAMPLER.md ; docs/algorithms/PLATESOLVE.md ; docs/contracts/DATA_SEMANTICS.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/platesolve/cpp/ipv/src/ipv_solver.cpp:485 ; lib/algorithms/platesolve/cpp/ipv/src/ipv_solver.cpp:891 ; lib/infrastructure/aio/src/healpix/aio_healpix_io.cpp:1134 ; lib/infrastructure/ai
rho,局部量噪声（不入科学判读）,3,2,-1.0;0.0 | 0.0,小于 1 的小数,是,3,docs/algorithms/UPM_SOLVER.md ; docs/validation/v6/NEGATIVE_MUTATION_CATALOG.md ; eng/contracts/data/v6_clause_registry_v1.json,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/integration/v6/include/astrocs/v6/phase2_integrate.h:166 ; lib/algorithms/star_detection/src/nls_lm.cpp:326 ; lib/algorithms/star_detection/src/nls_lm.cpp:357
rho_img,残余A·登记面点名但无支撑,2,1,0.0,小于 1 的小数,是,3,docs/algorithms/PLATESOLVE.md ; docs/architecture/api_inventory.csv ; docs/contracts/API_CONTRACTS.csv,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/platesolve/cpp/ipv/src/ipv_select.cpp:275 ; lib/algorithms/platesolve/cpp/ipv/src/ipv_select.cpp:299
rho_max,残余B·带单位的科学量,1,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/integration/v6/include/astrocs/v6/phase2_integrate.h:123
rho_mean,残余D·语义未明（需读用途）,2,2,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/integration/v6/include/astrocs/v6/phase2_integrate.h:122 ; lib/algorithms/integration/v6_phase1/src/phase1_product.cpp:484
rho_p05,残余D·语义未明（需读用途）,2,2,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/integration/v6/include/astrocs/v6/phase2_integrate.h:167 ; lib/algorithms/integration/v6/src/phase2_integrate.cpp:389
rhs,局部量噪声（不入科学判读）,1,1,6.0,一般数值,是,1,docs/algorithms/PHASE2_UPM_IMPL.md,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/integration/v6/src/weight_chain.cpp:218
rmax,残余A·登记面点名但无支撑,1,1,1.0,一般数值,是,7,docs/algorithms/NOISE_ESTIMATION.md ; docs/contracts/DATA_SEMANTICS.md ; docs/science/NOISE_MODEL.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/noise_snr/cpp/src/noise_model.cpp:825
rmax_cap,残余B·带单位的科学量,1,1,2.0;4.0,其他,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/scheduler/src/module_adapters.cpp:6621
rms,局部量噪声（不入科学判读）,4,2,0.0,小于 1 的小数,是,8,docs/algorithms/GATES_AND_TOLERANCES.md ; docs/algorithms/PLATESOLVE.md ; docs/contracts/PUBLIC_API.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/platesolve/cpp/ipv/src/ipv_itertrans.cpp:649 ; lib/algorithms/platesolve/cpp/ipv/src/ipv_itertrans.cpp:934 ; lib/algorithms/platesolve/cpp/ipv/src/ipv_itertrans.cpp:953 ; lib/algorithms
rms_arcsec,残余A·登记面点名但无支撑,3,1,.4f | 0.0,小于 1 的小数,是,6,docs/algorithms/GATES_AND_TOLERANCES.md ; docs/algorithms/PLATESOLVE.md ; docs/contracts/DATA_SEMANTICS.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/platesolve/cpp/ipv/src/ipv_wcs.cpp:212 ; lib/algorithms/platesolve/cpp/ipv/src/ipv_wcs.cpp:647 ; lib/algorithms/platesolve/cpp/ipv/src/ipv_wcs.cpp:777
rms_px,残余A·登记面点名但无支撑,6,2,.3f | .4f;0.5 | 0.0,其他,是,7,docs/algorithms/GATES_AND_TOLERANCES.md ; docs/algorithms/PLATESOLVE.md ; docs/architecture/production_call_paths_stage1.csv,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/platesolve/cpp/ipv/src/ipv_solver.cpp:766 ; lib/algorithms/platesolve/cpp/ipv/src/ipv_solver.cpp:1154 ; lib/algorithms/platesolve/cpp/ipv/src/ipv_solver.cpp:1444 ; lib/algorithms/plates
rms_unweighted,残余B·带单位的科学量,1,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/coverage/src/sky_plane.cpp:1909
rms_weighted,残余A·登记面点名但无支撑,3,1,0.0,小于 1 的小数,是,1,docs/contracts/DATA_SEMANTICS.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/coverage/src/sky_plane.cpp:1199 ; lib/algorithms/coverage/src/sky_plane.cpp:1908 ; lib/algorithms/coverage/src/sky_plane.cpp:1971
rms_x,残余D·语义未明（需读用途）,1,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/platesolve/cpp/ipv/src/ipv_sip.cpp:455
rms_y,残余D·语义未明（需读用途）,1,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/platesolve/cpp/ipv/src/ipv_sip.cpp:456
rmse,残余D·语义未明（需读用途）,1,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/star_detection/src/sdet_api.cpp:310
rmse_ratio,残余D·语义未明（需读用途）,1,1,1.482602218505602,一般数值,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/star_detection/src/sdet_api.cpp:231
rn_term,残余D·语义未明（需读用途）,1,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/noise_snr/cpp/src/snr_science.cpp:178
robust,残余A·登记面点名但无支撑,1,1,.4f,其他,是,9,docs/algorithms/PHASE2_SAMPLER.md ; docs/algorithms/PHOTOMETRIC_FIT.md ; docs/algorithms/REJECTION_ALGORITHMS.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/platesolve/cpp/ipv/src/ipv_solver.cpp:1726
robust_iterations,残余A·登记面点名但无支撑,1,1,.6;.6f,其他,是,2,docs/algorithms/PHOTOMETRIC_FIT.md ; docs/science/PHOTOMETRY.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/photometry/cpp/src/star_matcher.cpp:662
robust_residual_sigma,残余A·登记面点名但无支撑,1,1,0.7316727929211932,小于 1 的小数,是,2,docs/algorithms/STAR_PSF_ALGORITHMS.md ; docs/science/PSF.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/psf/src/dpsf_psf.h:8
robust_slope_bytes_per_iter,残余D·语义未明（需读用途）,1,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/cli/memory_growth.h:44
room,残余D·语义未明（需读用途）,1,1,80,一般数值,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/aio/v6/src/v6_fits.cpp:78
root1,残余D·语义未明（需读用途）,1,1,1.0;3.0,其他,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/aio/src/hiss_reader.cpp:177
root2,残余D·语义未明（需读用途）,1,1,1.0;3.0,其他,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/aio/src/hiss_reader.cpp:180
rotation_deg,残余A·登记面点名但无支撑,2,1,0.0,小于 1 的小数,是,6,docs/contracts/CONFIG_CONTRACT.md ; docs/plugins/algorithms_phase1/03_star_detection.md ; eng/contracts/schemas/phase_config_export.schema.json,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/scheduler/src/module_adapters.cpp:3313 ; lib/infrastructure/scheduler/src/module_adapters.cpp:3396
roundness,残余A·登记面点名但无支撑,4,1,0.01 | 0.9;0.999 | 1.0,一般数值,是,1,docs/algorithms/STAR_DETECTION_ALGORITHMS.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/star_detection/src/sdet_api.cpp:364 ; lib/algorithms/star_detection/src/sdet_api.cpp:365 ; lib/algorithms/star_detection/src/sdet_api.cpp:366 ; lib/algorithms/star_detection/src/sdet_ap
route_replay_max_slowdown_ratio,残余B·带单位的科学量,1,1,1.0,一般数值,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/acr/routing/route_profile_v2.hpp:199
row,局部量噪声（不入科学判读）,1,1,0.0,小于 1 的小数,是,10,docs/algorithms/PHASE3_RSMP_IMPL.md ; docs/algorithms/STAR_PSF_ALGORITHMS.md ; docs/architecture/execution_inventory.csv,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/drizzle/healpix_drizzle/v6_drizzle_science.cpp:320
rp,局部量噪声（不入科学判读）,1,1,5.0,一般数值,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/noise_snr/cpp/test/noise_model_science_test.cpp:224
rs_new,残余A·登记面点名但无支撑,1,1,0.0,小于 1 的小数,是,1,docs/algorithms/PHASE2_UPM_IMPL.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/coverage/src/upm.cpp:701
rsigma,残余B·带单位的科学量,2,1,1.482602218505602f,其他,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/calibration/src/dark_optimizer.cpp:276 ; lib/algorithms/calibration/src/dark_optimizer.cpp:334
rss_growth_mb_per_s,残余D·语义未明（需读用途）,3,2,0.0 | 1024.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/cli/memory_report.h:228 ; lib/infrastructure/cli/memory_report.h:481 ; lib/infrastructure/cli/v6_runtime_contract.h:310
rss_slope_bytes_per_s,残余D·语义未明（需读用途）,1,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/cli/memory_report.h:227
rss_slope_mb_per_s,残余D·语义未明（需读用途）,1,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/cli/resource_gate.h:194
running,残余A·登记面点名但无支撑,3,1,0.5 | 0.682689,小于 1 的小数,是,2,docs/contracts/DATA_SEMANTICS.md ; docs/modules/registry/astrocs.phase2.session.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/coverage/src/rejection.cpp:377 ; lib/algorithms/coverage/src/rejection.cpp:751 ; lib/algorithms/coverage/src/rejection.cpp:778
s,局部量噪声（不入科学判读）,56,25,.1f;.2f;.4f | .2f;.4f | .3f | .4f,一般数值,是,73,ACCEPTANCE_SPEC.md ; docs/GLOSSARY.md ; docs/algorithms/CALIBRATION_ALGORITHMS.md,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/star_detection/wrapper_phase1/star_detector.cpp:105 ; lib/algorithms/calibration/src/photometry_apply.h:94 ; lib/algorithms/coverage/src/identifiability.cpp:87 ; lib/algorithms/coverage
s0,局部量噪声（不入科学判读）,20,10,.4f | 0.0 | 0.9890161182738412 | 1.0,小于 1 的小数,是,10,docs/algorithms/GATES_AND_TOLERANCES.md ; docs/algorithms/PHASE2_REJECTION.md ; docs/algorithms/PHASE2_SAMPLER.md,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/platesolve/cpp/ipv/test/test_triangle_budget.cpp:43 ; lib/algorithms/coverage/src/rejection.cpp:1557 ; lib/algorithms/coverage/src/sampler.cpp:839 ; lib/algorithms/coverage/src/sampler.
s1,局部量噪声（不入科学判读）,2,2,1.0 | 1.482602218505602,一般数值,是,4,docs/algorithms/PHASE2_SAMPLER.md ; docs/operations/TOOLCHAIN_AGENT_HOST.md ; eng/contracts/data/examples/frame_hips_manifest.example.json,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/coverage/src/sampler.cpp:859 ; lib/algorithms/noise_snr/cpp/test/noise_model_science_test.cpp:403
s_deg,残余D·语义未明（需读用途）,1,1,3600.0,一般数值,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/scheduler/src/module_adapters.cpp:3551
s_eff,残余D·语义未明（需读用途）,1,1,1.0,一般数值,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/coverage/src/upm.cpp:1037
s_factor,残余A·登记面点名但无支撑,2,1,-2.0;0.001;3.7172 | -2.0;3.7172,其他,是,3,docs/algorithms/STAR_DETECTION_ALGORITHMS.md ; docs/algorithms/STAR_PSF_ALGORITHMS.md ; docs/science/PSF.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/star_detection/src/sdet_api.cpp:1812 ; lib/algorithms/star_detection/src/sdet_api.cpp:2567
s_grid,残余D·语义未明（需读用途）,1,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/photometry/cpp/src/spectrum_integrator.cpp:262
s_inside,残余B·带单位的科学量,1,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/drizzle/healpix_drizzle/poly_clip.cpp:230
s_max,残余A·登记面点名但无支撑,1,1,1.10,一般数值,是,1,docs/science/PSF.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/platesolve/cpp/ipv/include/ipv_types.h:243
s_min,残余A·登记面点名但无支撑,1,1,0.90,小于 1 的小数,是,1,docs/science/PSF.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/platesolve/cpp/ipv/include/ipv_types.h:242
s_npts,残余D·语义未明（需读用途）,1,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/photometry/cpp/src/filter_curve_json.h:257
s_ref,残余D·语义未明（需读用途）,1,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/integration/v6/src/phase2_integrate.cpp:1336
s_wlsum,残余D·语义未明（需读用途）,1,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/photometry/cpp/src/filter_curve_json.h:258
safety,残余A·登记面点名但无支撑,2,2,.1f | 0.0;3.0,其他,是,21,docs/contracts/API-001.md ; docs/modules/acr.md ; docs/modules/astro_image_io.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/platesolve/cpp/ipv/src/ipv_select.cpp:425 ; lib/algorithms/platesolve/cpp/ipv/test/test_mag_iter.cpp:237
safety_factor,残余A·登记面点名但无支撑,2,1,0.75,小于 1 的小数,是,2,docs/algorithms/PHASE2_MOSAIC_WRITE.md ; docs/modules/registry/astrocs.phase2.write.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/coverage/tools/stage2.cpp:735 ; lib/algorithms/coverage/tools/stage2.cpp:1011
sample_interval,残余D·语义未明（需读用途）,2,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/scheduler/src/memory_pressure.cpp:118 ; lib/infrastructure/scheduler/src/memory_pressure.cpp:269
