符号,预分档,位点数,跨文件数,值样例,值形态,有单位,登记面点名数,点名位置样例,来源现状样例,位点样例
denom,残余A·登记面点名但无支撑,9,8,0.0 | 1.0 | 1.0;2.0 | 1.0f;2.0f,一般数值,是,5,docs/algorithms/CALIBRATION_ALGORITHMS.md ; docs/algorithms/PHASE3_PROJ_IMPL.md ; docs/contracts/DATA_SEMANTICS.md,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/integration/v6/src/weight_chain.cpp:216 ; lib/algorithms/calibration/src/v6_calibration_covariance.cpp:207 ; lib/algorithms/drizzle/healpix_drizzle/spherical_overlap.cpp:247 ; lib/algor
denom_peak,残余D·语义未明（需读用途）,1,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/psf/src/psf_information.cpp:146
denominator,残余A·登记面点名但无支撑,1,1,0.0,小于 1 的小数,是,4,docs/ci/CI_SPEC.md ; docs/contracts/DATA_SEMANTICS.md ; docs/plugins/infrastructure/21_observability.md,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/acr/examples/weighted_integration/weighted_integration_common.hpp:38
density_tolerance,残余B·带单位的科学量,1,1,0.1,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/platesolve/cpp/ipv/include/ipv_types.h:278
depth_max_abs_rho,残余B·带单位的科学量,1,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/photometry/include/astrocs/v6/psfsw.h:360
depth_max_rel_dev,残余B·带单位的科学量,1,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/photometry/include/astrocs/v6/psfsw.h:359
det,局部量噪声（不入科学判读）,3,3,.3 | 0.0,小于 1 的小数,是,16,docs/algorithms/DRIZZLE_GEOMETRY.md ; docs/algorithms/NOISE_ESTIMATION.md ; docs/algorithms/PHASE3_PROJ_IMPL.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/drizzle/healpix_drizzle/wcs_sip.cpp:49 ; lib/algorithms/photometry/cpp/src/wcs_transform.cpp:55 ; lib/infrastructure/scheduler/src/module_adapters.cpp:4409
det_lin,残余D·语义未明（需读用途）,1,1,.3,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/platesolve/cpp/ipv/src/ipv_wcs.cpp:350
detection.threshold_sigma,已有支撑（本轮不派）,1,1,5.0,一般数值,是,4,docs/plugins/algorithms_phase1/03_star_detection.md ; docs/science/STAR_DETECTION.md ; eng/packaging/config/config_registry.json,有文献（本仓 SCI 冻结）,eng/packaging/config/defaults.json:48
detection_sigma,残余B·带单位的科学量,1,1,5.0,一般数值,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/star_detection/wrapper_phase1/star_detector.h:38
detection_threshold_sigma,残余B·带单位的科学量,2,2,0.0 | 5.0,一般数值,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/integration/v6_phase1/src/phase1_product.cpp:448 ; lib/algorithms/photometry/include/astrocs/v6/psfsw.h:207
dev,局部量噪声（不入科学判读）,1,1,0.0,小于 1 的小数,是,3,docs/algorithms/CALIBRATION_ALGORITHMS.md ; docs/audit/risk_verification_T012.csv ; docs/research/COMPRESSION_CODEC_RESEARCH_PACK.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/photometry/cpp/src/psfsw.cpp:342
dev_cos,残余D·语义未明（需读用途）,1,1,-1.0;1.0,其他,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/drizzle/healpix_drizzle/spherical_overlap.cpp:604
device_bytes_per_item,残余D·语义未明（需读用途）,1,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/acr/qualification/focused/operation_profile.hpp:76
devices,残余A·登记面点名但无支撑,5,3,50.0,一般数值,是,1,docs/science/CALIBRATION.md,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/acr/core/runtime.cpp:522 ; lib/infrastructure/acr/examples/weighted_integration/route_profile_calibration.cpp:391 ; lib/infrastructure/acr/examples/weighted_integration/weighted_int
dex,局部量噪声（不入科学判读）,1,1,.3f;.6f,其他,是,19,docs/algorithms/NOISE_ESTIMATION.md ; docs/algorithms/PHASE2_SAMPLER.md ; docs/algorithms/PHOTOMETRIC_FIT.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/photometry/cpp/src/star_matcher.cpp:639
dfwhm,残余B·带单位的科学量,1,1,0.1;4.5,其他,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/noise_snr/cpp/test/snr_reconcile_test.cpp:47
dh,局部量噪声（不入科学判读）,1,1,0.5,小于 1 的小数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:681
dhnorm,残余D·语义未明（需读用途）,1,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/star_detection/src/nls_lm.cpp:327
diag,残余A·登记面点名但无支撑,3,1,0.0,小于 1 的小数,是,21,docs/TROUBLESHOOTING.md ; docs/algorithms/HIPS_WRITER.md ; docs/algorithms/PHASE3_PROJ_IMPL.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/drizzle/healpix_drizzle/v6_drizzle_science.cpp:340 ; lib/algorithms/drizzle/healpix_drizzle/v6_drizzle_science.cpp:368 ; lib/algorithms/drizzle/healpix_drizzle/v6_drizzle_science.cpp:51
dinv,残余D·语义未明（需读用途）,1,1,1.0,一般数值,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/noise_snr/cpp/src/information_weight.cpp:158
directions,残余D·语义未明（需读用途）,1,1,.3,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/coverage/src/sky_plane.cpp:1131
disc,残余A·登记面点名但无支撑,4,3,0.0 | 4.0,一般数值,是,1,docs/research/PHOTOMETRY_RESEARCH_PACK.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:530 ; lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:531 ; lib/algorithms/noise_snr/cpp/src/noise_model.cpp:196 ; lib/algorithms/pl
display_min_,残余B·带单位的科学量,1,1,0.0f;1.0f,其他,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/hips_browser/healpix_browser_qt/core/hips_sky_view.h:146
dist,残余A·登记面点名但无支撑,1,1,.2f;.3f;.4,其他,是,5,ENGINEERING_SPEC.md ; docs/algorithms/CALIBRATION_ALGORITHMS.md ; docs/algorithms/COSMETIC_ALGORITHMS.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/photometry/cpp/src/star_matcher.cpp:329
diverge_match_drop,残余D·语义未明（需读用途）,1,1,0.50,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/platesolve/cpp/ipv/include/ipv_robust_refine.h:75
diverge_rms_increase,残余D·语义未明（需读用途）,1,1,0.10,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/platesolve/cpp/ipv/include/ipv_robust_refine.h:74
dk,局部量噪声（不入科学判读）,2,1,0.0,小于 1 的小数,是,3,docs/algorithms/PHASE3_PROJ_IMPL.md ; docs/research/COMPRESSION_CODEC_RESEARCH_PACK.md ; docs/science/PHASE3_HIPS_TO_FITS.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/coverage/tools/stage2.cpp:1174 ; lib/algorithms/coverage/tools/stage2.cpp:1530
dl_err,残余D·语义未明（需读用途）,2,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/coverage/src/rejection.cpp:676 ; lib/algorithms/coverage/src/rejection.cpp:725
dm,局部量噪声（不入科学判读）,1,1,60.0,一般数值,是,1,docs/algorithms/PHASE2_SESSION.md,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/hips_browser/healpix_browser_qt/app/main_window.cpp:770
dmad,残余D·语义未明（需读用途）,1,1,120.0;3.0,其他,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/noise_snr/cpp/test/snr_reconcile_test.cpp:46
dmax,残余B·带单位的科学量,4,3,0.0 | 0.995 | 1.0f,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/coverage/src/identifiability.cpp:220 ; lib/infrastructure/hips_browser/healpix_browser_qt/app/browser_cli.cpp:868 ; lib/infrastructure/hips_browser/healpix_browser_qt/app/browser_cli.cp
dmax_,残余B·带单位的科学量,2,2,1.0f,其他,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/hips_browser/healpix_browser_qt/app/stf_bar.cpp:17 ; lib/infrastructure/hips_browser/healpix_browser_qt/app/stf_bar.h:65
