类型,符号或键,位点,现行值,登记单位,机判档,条文命中
具名,max_sweeps,lib/algorithms/coverage/src/upm.cpp:2266,200,未标注,③未见于条文面,
具名,c,lib/algorithms/coverage/src/upm.cpp:2284,1.0,未标注,③未见于条文面,
具名,kTileWidth,lib/algorithms/coverage/tools/calibrated_pair_diag.cpp:40,512,未标注,①条文含值,docs/algorithms/PHASE2_SAMPLER.md:47 | cell_side | tile 边长/G=64（kTileWidth=512） | leaf 像素 | sampler.cpp:76/
具名,kTileShift,lib/algorithms/coverage/tools/calibrated_pair_diag.cpp:41,9,未标注,①条文含值,docs/algorithms/PHASE2_SAMPLER.md:106 | kTileWidth/kTileShift | :75-76 | 512×512 tile，shift=log2(512)=9 |
具名,kLeafOrder,lib/algorithms/coverage/tools/calibrated_pair_diag.cpp:42,7,未标注,③未见于条文面,
具名,kSeamBandDeg,lib/algorithms/coverage/tools/calibrated_pair_diag.cpp:43,0.25,未标注,③未见于条文面,
具名,kSmallFloor,lib/algorithms/coverage/tools/calibrated_pair_diag.cpp:44,1e-5,未标注,③未见于条文面,
具名,bin_deg,lib/algorithms/coverage/tools/calibrated_pair_diag.cpp:86,0.5,未标注,③未见于条文面,
具名,kAcrWeightModeIvar,lib/algorithms/coverage/tools/stage2.cpp:67,2,未标注,③未见于条文面,
具名,maxn,lib/algorithms/coverage/tools/stage2.cpp:88,1,未标注,③未见于条文面,
具名,nside,lib/algorithms/coverage/tools/stage2.cpp:752,1,未标注,①条文含值,docs/algorithms/DRIZZLE_GEOMETRY.md:117 exp_c_realdata.json` C3 段：nside=512/1024 × 181 档纬度扫描，最坏 1.0441/1.0442，
具名,grid,lib/algorithms/coverage/tools/stage2.cpp:1105,8,未标注,①条文含值,docs/algorithms/NOISE_ESTIMATION.md:36 grid 8×8 patches
具名,n_leaf,lib/algorithms/drizzle/healpix_drizzle/astro_sphere_sink.cpp:104,512,未标注,①条文含值,docs/algorithms/PHASE2_MOSAIC_WRITE.md:71 `n_leaf = 512×512 = 262144`（:526）；
具名,n_leaf,lib/algorithms/drizzle/healpix_drizzle/astro_sphere_sink.cpp:329,512,未标注,①条文含值,docs/algorithms/PHASE2_MOSAIC_WRITE.md:71 `n_leaf = 512×512 = 262144`（:526）；
具名,std_parent_count,lib/algorithms/drizzle/healpix_drizzle/astro_sphere_sink.cpp:334,12,未标注,③未见于条文面,
具名,M_PI,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:28,3.14159265358979323846,未标注,③未见于条文面,
具名,kMaxTraceLeaves,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:163,20000,未标注,③未见于条文面,
具名,D2R,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:348,0.017453292519943295769,未标注,③未见于条文面,
具名,ADAPTIVE_MAX_DEPTH,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:394,5,未标注,③未见于条文面,
具名,ADAPTIVE_RATIO_THRESH,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:395,1.25,未标注,③未见于条文面,
具名,ADAPTIVE_MIN_CELL_PX,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:396,4.0,未标注,③未见于条文面,
具名,NSIDE_MIN,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:662,16,未标注,①条文含值,"docs/algorithms/DRIZZLE_GEOMETRY.md:158 → 0 由调用方兜底（:697-701）；钳位 `[NSIDE_MIN, NSIDE_MAX] = [16, 4194304=2^22]`"
具名,NSIDE_MAX,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:663,4194304,未标注,①条文含值,"docs/algorithms/DRIZZLE_GEOMETRY.md:158 → 0 由调用方兜底（:697-701）；钳位 `[NSIDE_MIN, NSIDE_MAX] = [16, 4194304=2^22]`"
具名,margin,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:680,0.5,未标注,③未见于条文面,
