dx,dy,adrop,s0_4c_acos,s1_4c_stbl,s3_curve128_acos,s2_curve8,s2_curve32,s2_curve128,s2_curve512,oracle,r0,r1,r3,r2k8,r2k32,r2k128,r2k512,roracle,leafmax_err
-7.50,3.00,9.401675e-13,9.401675e-13,9.401675e-13,9.401675e-13,9.401675e-13,9.401675e-13,9.401675e-13,9.401675e-13,9.401675e-13,4.296e-16,2.148e-16,1.289e-15,2.148e-15,0.000e+00,2.148e-16,6.444e-16,2.148e-16,8.618e-09
-7.50,3.50,9.401752e-13,9.402293e-13,9.402292e-13,9.401752e-13,9.401760e-13,9.401752e-13,9.401752e-13,9.401752e-13,9.401752e-13,5.757e-05,5.743e-05,6.147e-09,8.973e-07,5.608e-08,3.505e-09,2.191e-10,7.733e-15,6.432e-09
-7.50,4.00,9.401743e-13,9.401743e-13,9.401743e-13,9.401743e-13,9.401743e-13,9.401743e-13,9.401743e-13,9.401743e-13,9.401743e-13,9.881e-15,1.504e-14,1.568e-14,1.332e-14,1.224e-14,1.547e-14,1.375e-14,1.525e-14,7.400e-09
-7.50,4.50,9.401760e-13,9.402173e-13,9.402187e-13,9.401761e-13,9.401767e-13,9.401760e-13,9.401760e-13,9.401760e-13,9.401760e-13,4.397e-05,4.544e-05,7.847e-08,7.099e-07,4.437e-08,2.773e-09,1.733e-10,4.511e-15,7.822e-09
-7.50,5.00,9.401813e-13,9.401813e-13,9.401813e-13,9.401813e-13,9.401813e-13,9.401813e-13,9.401813e-13,9.401813e-13,9.401813e-13,2.363e-15,1.718e-15,3.866e-15,7.733e-15,3.222e-15,3.007e-15,4.511e-15,1.160e-14,9.278e-09
-7.50,5.50,9.401799e-13,9.401799e-13,9.401799e-13,9.401799e-13,9.401799e-13,9.401799e-13,9.401799e-13,9.401799e-13,9.401799e-13,4.726e-15,7.303e-15,4.511e-15,5.155e-15,5.155e-15,8.592e-15,3.437e-15,7.518e-15,1.099e-08
-7.50,6.00,9.401784e-13,9.402030e-13,9.402029e-13,9.401784e-13,9.401788e-13,9.401784e-13,9.401784e-13,9.401784e-13,9.401784e-13,2.621e-05,2.610e-05,3.613e-09,4.075e-07,2.547e-08,1.592e-09,9.948e-11,7.948e-15,1.094e-08
-7.50,6.50,9.401842e-13,9.401842e-13,9.401842e-13,9.401842e-13,9.401842e-13,9.401842e-13,9.401842e-13,9.401842e-13,9.401842e-13,1.095e-14,1.912e-14,1.654e-14,1.525e-14,1.869e-14,1.761e-14,1.675e-14,1.955e-14,1.080e-08
-7.50,7.00,9.401756e-13,9.401857e-13,9.401846e-13,9.401756e-13,9.401758e-13,9.401756e-13,9.401756e-13,9.401756e-13,9.401756e-13,1.074e-05,9.591e-06,6.533e-08,1.493e-07,9.334e-09,5.833e-10,3.644e-11,2.406e-14,1.266e-08
-7.50,7.50,9.401743e-13,9.401844e-13,9.401834e-13,9.401743e-13,9.401745e-13,9.401744e-13,9.401743e-13,9.401743e-13,9.401743e-13,1.074e-05,9.591e-06,6.533e-08,1.493e-07,9.334e-09,5.834e-10,3.648e-11,7.733e-15,1.268e-08
-7.50,8.00,9.401728e-13,9.401728e-13,9.401728e-13,9.401728e-13,9.401728e-13,9.401728e-13,9.401728e-13,9.401728e-13,9.401728e-13,1.332e-14,2.041e-14,1.289e-14,1.955e-14,1.267e-14,1.976e-14,1.632e-14,1.998e-14,1.443e-08
-7.00,-8.00,9.401742e-13,9.401920e-13,9.401909e-13,9.401741e-13,9.401744e-13,9.401742e-13,9.401742e-13,9.401742e-13,9.401742e-13,1.895e-05,1.781e-05,6.483e-08,2.779e-07,1.737e-08,1.085e-09,6.784e-11,1.053e-14,1.083e-08
-7.00,-7.50,9.401756e-13,9.401857e-13,9.401846e-13,9.401756e-13,9.401758e-13,9.401756e-13,9.401756e-13,9.401756e-13,9.401756e-13,1.074e-05,9.591e-06,6.533e-08,1.493e-07,9.334e-09,5.833e-10,3.644e-11,1.396e-14,1.266e-08
-7.00,-7.00,9.401771e-13,9.401771e-13,9.401771e-13,9.401771e-13,9.401771e-13,9.401771e-13,9.401771e-13,9.401771e-13,9.401771e-13,4.296e-16,2.148e-15,3.866e-15,2.578e-15,2.792e-15,3.007e-15,3.222e-15,2.148e-15,1.167e-08
