r_px,az_deg,ra_deg,dec_deg,v0,rec1,oracle,seg_per_leaf
12.0000,180.0,246.50000000,89.99933333,7.303165e-15,1.288794e-15,2.792387e-15,192.6
12.0000,202.5,268.99999960,89.99933333,3.221978e-15,1.073993e-15,2.792381e-15,199.4
12.0000,225.0,291.50000000,89.99933333,2.147981e-16,1.288789e-15,2.792376e-15,197.2
12.0000,247.5,314.00000040,89.99933333,2.890106e-05,7.557448e-09,1.116952e-14,195.2
12.0000,270.0,336.50000000,89.99933333,2.792387e-15,1.288794e-15,6.014372e-15,193.4
12.0000,292.5,358.99999960,89.99933333,0.000000e+00,6.443955e-16,1.073993e-15,198.2
12.0000,315.0,21.50000000,89.99933333,1.546547e-14,1.546547e-14,1.116950e-14,196.7
12.0000,337.5,44.00000040,89.99933333,2.890106e-05,7.557452e-09,4.081172e-15,195.2
16.0000,0.0,66.50000000,89.99911111,4.459365e-06,1.729354e-08,1.374707e-14,155.6
16.0000,22.5,88.99999990,89.99911111,3.007176e-15,5.584756e-15,2.147983e-16,199.4
16.0000,45.0,111.50000000,89.99911111,2.017178e-06,1.209112e-07,7.303145e-15,183.9
16.0000,67.5,134.00000010,89.99911111,1.544955e-05,1.586180e-08,2.276862e-14,171.2
16.0000,90.0,156.50000000,89.99911111,4.459365e-06,1.729353e-08,1.267308e-14,168.1
16.0000,112.5,178.99999990,89.99911111,8.591932e-16,6.443949e-16,3.436773e-15,180.6
16.0000,135.0,201.50000000,89.99911111,2.017178e-06,1.209112e-07,1.052512e-14,176.6
16.0000,157.5,224.00000010,89.99911111,1.544955e-05,1.586180e-08,2.083544e-14,171.2
16.0000,180.0,246.50000000,89.99911111,4.459365e-06,1.729355e-08,1.073990e-15,169.5
16.0000,202.5,268.99999990,89.99911111,1.503588e-15,1.503588e-15,5.155159e-15,176.8
16.0000,225.0,291.50000000,89.99911111,2.017178e-06,1.209112e-07,3.436774e-15,174.7
16.0000,247.5,314.00000010,89.99911111,1.544955e-05,1.586181e-08,2.556100e-14,171.2
16.0000,270.0,336.50000000,89.99911111,4.459365e-06,1.729353e-08,1.868742e-14,170.0
16.0000,292.5,358.99999990,89.99911111,0.000000e+00,3.651571e-15,7.088344e-15,175.2
16.0000,315.0,21.50000000,89.99911111,2.017178e-06,1.209112e-07,2.147984e-16,173.7
16.0000,337.5,44.00000010,89.99911111,1.544955e-05,1.586177e-08,6.873546e-15,171.2
20.0000,0.0,66.50000000,89.99888889,7.088353e-14,8.054946e-14,6.100279e-14,153.8
20.0000,22.5,88.99999999,89.99888889,3.221973e-15,3.007175e-15,4.940358e-15,154.4
20.0000,45.0,111.50000000,89.99888889,1.439145e-14,6.658731e-15,9.021506e-15,153.1
20.0000,67.5,134.00000001,89.99888889,1.100825e-05,1.015844e-08,3.909327e-14,146.8
20.0000,90.0,156.50000000,89.99888889,4.553730e-14,4.639649e-14,2.190945e-14,148.2
20.0000,112.5,178.99999999,89.99888889,5.155157e-15,4.725560e-15,6.443946e-16,149.3
20.0000,135.0,201.50000000,89.99888889,3.844880e-14,3.350845e-14,2.899770e-14,149.5
20.0000,157.5,224.00000001,89.99888889,1.100825e-05,1.015842e-08,1.288789e-14,146.8
20.0000,180.0,246.50000000,89.99888889,4.704089e-14,6.272118e-14,7.926067e-14,147.5
20.0000,202.5,268.99999999,89.99888889,2.147982e-16,2.362780e-15,3.866367e-15,148.3
20.0000,225.0,291.50000000,89.99888889,2.727932e-14,1.675423e-14,2.706452e-14,148.5
20.0000,247.5,314.00000001,89.99888889,1.100825e-05,1.015848e-08,7.926053e-14,146.8
20.0000,270.0,336.50000000,89.99888889,2.749422e-14,1.653949e-14,3.157539e-14,147.3
20.0000,292.5,358.99999999,89.99888889,7.088340e-15,4.295964e-15,3.651569e-15,147.9
20.0000,315.0,21.50000000,89.99888889,2.040579e-14,1.847261e-14,2.663492e-14,148.0
20.0000,337.5,44.00000001,89.99888889,1.100825e-05,1.015847e-08,6.014349e-14,146.8
24.0000,0.0,66.50000000,89.99866667,2.179607e-06,4.170346e-08,3.801923e-14,151.2
24.0000,22.5,89.00000001,89.99866667,1.568026e-14,8.162328e-15,1.031031e-14,140.4
24.0000,45.0,111.50000000,89.99866667,1.482107e-14,2.190940e-14,2.727935e-14,143.0
