dx,dy,adrop,sum_prod,sum_a0,rel_prod,rel_a0,bitdiff_leaves
-6.50,5.00,9.401748e-13,9.402148640345e-13,9.402148640346e-13,4.2585e-05,4.2585e-05,0
-6.50,5.50,9.401736e-13,9.402050195465e-13,9.402050195466e-13,3.3421e-05,3.3421e-05,0
-6.50,6.00,9.401723e-13,9.401722948222e-13,9.401722948223e-13,1.2329e-13,2.7709e-14,0
-6.50,6.50,9.401789e-13,9.401885502222e-13,9.401885502223e-13,1.0245e-05,1.0245e-05,0
-6.50,7.00,9.401773e-13,9.401773176983e-13,9.401773176984e-13,1.0718e-13,9.0215e-15,0
-6.50,7.50,9.401842e-13,9.401842356645e-13,9.401842356646e-13,1.2437e-13,4.2959e-14,0
-6.50,8.00,9.401823e-13,9.401731272237e-13,9.401731272238e-13,9.8003e-06,9.8003e-06,0
-6.00,-8.00,9.401768e-13,9.401768154667e-13,9.401768154669e-13,1.1535e-13,8.3342e-14,0
-6.00,-7.50,9.401784e-13,9.402030144866e-13,9.402030144867e-13,2.6209e-05,2.6209e-05,0
-6.00,-7.00,9.401800e-13,9.402011640318e-13,9.402011640318e-13,2.2546e-05,2.2546e-05,0
-6.00,-6.50,9.401723e-13,9.401722948135e-13,9.401722948136e-13,1.1384e-13,1.5251e-14,0
-6.00,-6.00,9.401738e-13,9.401738450544e-13,9.401738450545e-13,1.1685e-13,2.3198e-14,0
-6.00,-5.50,9.401754e-13,9.401823017211e-13,9.401823017212e-13,7.3618e-06,7.3618e-06,0
-6.00,-5.00,9.401769e-13,9.401617575449e-13,9.401617575450e-13,1.6118e-05,1.6118e-05,0
-6.00,-4.50,9.401783e-13,9.401783365327e-13,9.401783365328e-13,9.9666e-14,3.3508e-14,0
-6.00,-4.00,9.401709e-13,9.401709479857e-13,9.401709479858e-13,1.0697e-13,9.8808e-15,0
-6.00,-3.50,9.401725e-13,9.400859697731e-13,9.400859697731e-13,9.2008e-05,9.2008e-05,0
-6.00,-3.00,9.401739e-13,9.400344702493e-13,9.400344702494e-13,1.4825e-04,1.4825e-04,0
-6.00,-2.50,9.401750e-13,9.401749898464e-13,9.401749898465e-13,1.0697e-13,3.4368e-15,0
-6.00,-2.00,9.401758e-13,9.401757889969e-13,9.401757889970e-13,1.0224e-13,2.1480e-16,0
