path,size_bytes,sha256,license_hint
lib/astro_image_io/third_party/cfitsio/putcold.c,38944,5942eaececbc77bdbff47ed400414bddfbd9f801742a715dda98d0ba2b411278,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/putcold.o,15224,eb06621a733b82a2e4ac5c6b48f0a6691df671e8b9897cd7ecc338da82b6fa0e,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/putcole.c,39515,e1d9ee1f1527b7a59266fcfe9cacbdea3c770e97fae5a082d83947ab67d55e6d,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/putcole.o,15384,bff6adef1599ba16138b6c3a18861486e7bb4858854afed474bfaf064102fbe2,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/putcoli.c,35662,a6a0ccb187398ff034fe87b1c620426e07272c2fb3ef5215e331dc4bf07d3b91,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/putcoli.o,14440,efbcb361be0e9b853262e3acada3a6304aa84e067e4dfa644c71e736097e74fc,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/putcolj.c,71848,dfd07a7be7ef6e1ef13637058ce8b6493933ebf3313a61a281534d7c9241cab2,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/putcolj.o,26104,1e77e2c1ac9ddc0f8dc578eb4fced36200b63c7c123686dd91b9993e30e0bb93,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/putcolk.c,36612,db731a65dc7e2a041c3ff672f8201bc0bc03eae54ec1ab3dd900498e4e03d96a,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/putcolk.o,14368,19b3e0f16f060c90b16bfdc2f777c97b8d890ce664e84f7d9c569f1a7631d9fa,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/putcoll.c,13933,a23f6467dbbefb2ff032032d3ac1227d669f32aa500b9bfa502a4be7d3abdfe8,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/putcoll.o,5040,8aa85461c7dcf599806e2bdb79e5e10134f5c727b8971eeafc622e524bcac08e,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/putcols.c,10944,0e63349294a3cfcfff86a2855e8594ca99b98e425fa12e5e182565634fcb66d5,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/putcols.o,5568,d41b25448beafc184dce5ba63ac341a0015b7d33a9b99363667fa5798cc6b71a,cfitsio (NASA)
