path,module,status,rc,elapsed_sec,findings,errors
lib/astro_image_io/src/hips/aio_hips_writer.cpp,astro_image_io,PASS,0,13.44,0,
lib/astro_image_io/src/hiss_codec.cpp,astro_image_io,PASS,0,2.85,0,
lib/astro_image_io/src/hiss_common.cpp,astro_image_io,PASS,0,6.18,0,
lib/astro_image_io/src/hiss_reader.cpp,astro_image_io,PASS,0,8.2,0,
lib/astro_image_io/src/hiss_stream_writer.cpp,astro_image_io,PASS,0,4.76,0,
lib/astro_image_io/src/hiss_stream_writer.h,astro_image_io,HEADER_VIA_TU,-2,0.0,0,
lib/astro_image_io/src/hiss_tile_model.cpp,astro_image_io,PASS,0,0.83,0,
lib/astro_image_io/src/hiss_tile_model.h,astro_image_io,HEADER_VIA_TU,-2,0.0,0,
lib/astro_image_io/src/hiss_transform.cpp,astro_image_io,PASS,0,1.06,0,
lib/astro_image_io/src/hiss_transform.h,astro_image_io,HEADER_VIA_TU,-2,0.0,0,
lib/astro_image_io/src/hiss_writer.cpp,astro_image_io,FINDINGS,0,12.24,1,
lib/calibration/cpp/cosmetic_corrector.cpp,calibration,PASS,0,8.52,0,
lib/calibration/cpp/cosmetic_corrector.h,calibration,HEADER_VIA_TU,-2,0.0,0,
lib/calibration/include/astro_calibration.h,calibration,HEADER_VIA_TU,-2,0.0,0,
lib/calibration/src/ac_api.cpp,calibration,PASS,0,0.96,0,
lib/calibration/src/calibrator.cpp,calibration,PASS,0,2.96,0,
lib/calibration/src/cosmetic_corrector.cpp,calibration,PASS,0,3.55,0,
lib/calibration/src/dark_optimizer.cpp,calibration,PASS,0,4.16,0,
lib/calibration/src/master_generator.cpp,calibration,PASS,0,8.97,0,
lib/calibration/src/photometry_apply.cpp,calibration,PASS,0,0.26,0,
lib/calibration/src/photometry_apply.h,calibration,HEADER_VIA_TU,-2,0.0,0,
lib/common/crypto/sha256.cpp,common,PASS,0,0.58,0,
lib/common/crypto/sha256.h,common,HEADER_VIA_TU,-2,0.0,0,
lib/common/healpix/healpix_core.cpp,common,PASS,0,0.44,0,
lib/common/healpix/healpix_core.h,common,HEADER_VIA_TU,-2,0.0,0,
lib/common/include/astro_scalar.h,common,HEADER_VIA_TU,-2,0.0,0,
lib/common/include/precision_context.h,common,HEADER_VIA_TU,-2,0.0,0,
lib/dynamic_psf/include/dynamic_psf.h,dynamic_psf,HEADER_VIA_TU,-2,0.0,0,
lib/dynamic_psf/src/dpsf_image.cpp,dynamic_psf,PASS,0,16.77,0,
lib/dynamic_psf/src/dpsf_image.h,dynamic_psf,HEADER_VIA_TU,-2,0.0,0,
lib/dynamic_psf/src/dpsf_log.cpp,dynamic_psf,PASS,0,1.72,0,
lib/dynamic_psf/src/dpsf_log.h,dynamic_psf,HEADER_VIA_TU,-2,0.0,0,
lib/dynamic_psf/src/dpsf_psf.cpp,dynamic_psf,PASS,0,14.75,0,
lib/dynamic_psf/src/dpsf_psf.h,dynamic_psf,HEADER_VIA_TU,-2,0.0,0,
lib/gaia_xpsd_client/example/demo.c,gaia_xpsd_client,PASS,0,0.08,0,
lib/gaia_xpsd_client/src/gaia_client.c,gaia_xpsd_client,PASS,0,15.38,0,
lib/gaia_xpsd_client/src/gaia_client.h,gaia_xpsd_client,HEADER_VIA_TU,-2,0.0,0,
lib/healpix_db/healpix_browser_qt/app/browser_cli.cpp,healpix_browser,FINDINGS,0,26.11,1,
lib/healpix_db/healpix_browser_qt/app/main.cpp,healpix_browser,PASS,0,7.83,0,
lib/healpix_db/healpix_browser_qt/app/main_window.cpp,healpix_browser,PASS,0,15.88,0,
lib/healpix_db/healpix_browser_qt/app/main_window.h,healpix_browser,HEADER_VIA_TU,-2,0.0,0,
lib/healpix_db/healpix_browser_qt/app/stf_bar.cpp,healpix_browser,PASS,0,5.1,0,
lib/healpix_db/healpix_browser_qt/app/stf_bar.h,healpix_browser,HEADER_VIA_TU,-2,0.0,0,
lib/healpix_db/healpix_browser_qt/app/stf_panel.cpp,healpix_browser,PASS,0,4.39,0,
lib/healpix_db/healpix_browser_qt/app/stf_panel.h,healpix_browser,HEADER_VIA_TU,-2,0.0,0,
lib/healpix_db/healpix_browser_qt/core/browser_backend.cpp,healpix_browser,PASS,0,14.9,0,
lib/healpix_db/healpix_browser_qt/core/browser_backend.h,healpix_browser,HEADER_VIA_TU,-2,0.0,0,
lib/healpix_db/healpix_browser_qt/core/gl_renderer.cpp,healpix_browser,PASS,0,10.11,0,
lib/healpix_db/healpix_browser_qt/core/gl_renderer.h,healpix_browser,HEADER_VIA_TU,-2,0.0,0,
lib/healpix_db/healpix_browser_qt/core/healpix_math.cpp,healpix_browser,PASS,0,1.05,0,
