timestamp,working_set_mb,paged_mem_mb,nonpaged_mb
10:30:19.744,17077.07,9707.23,0.16
10:30:19.961,17054.35,9802.54,0.16
10:30:20.174,17043.11,9864.56,0.16
10:30:20.389,17021.98,9970.41,0.16
10:30:20.603,16997.36,10084.87,0.16
10:30:20.820,16537.61,8887.34,0.16
10:30:21.032,16405.11,8972.61,0.16
10:30:21.245,15793.32,9011.21,0.16
10:30:21.461,15771.79,9108.2,0.16
10:30:21.677,15745.43,9192.15,0.16
10:30:21.893,15723.86,9292.32,0.16
10:30:22.109,15278.66,8364.49,0.16
10:30:22.325,15252.79,8460.93,0.16
10:30:22.543,15235.32,8546.44,0.16
10:30:22.763,15213.91,8636.66,0.16
10:30:22.974,14471.63,8675.57,0.16
10:30:23.190,14045.56,7831.81,0.16
10:30:23.406,14013.96,7956.49,0.16
10:30:23.622,13978.42,8076.13,0.16
10:30:23.835,13946.56,8185.47,0.16
10:30:24.053,13910.59,8304.72,0.16
10:30:24.269,13549.1,7416.35,0.16
10:30:24.485,13509.45,7544.33,0.16
10:30:24.701,13473.88,7655.67,0.16
10:30:24.919,12729.21,7704.65,0.16
10:30:25.134,12392.49,6874.45,0.16
10:30:25.349,12366.99,6972.96,0.16
10:30:25.567,12339.48,7077.24,0.16
10:30:25.780,12316.61,7177.8,0.16
10:30:25.992,11964.29,6475.11,0.16
10:30:26.207,11934.34,6581.37,0.16
10:30:26.423,11905.83,6682.23,0.16
10:30:26.641,11165.89,6743.36,0.16
10:30:26.856,10842.17,6132.45,0.16
10:30:27.073,10807.53,6249.64,0.16
10:30:27.284,10779.86,6368.81,0.16
10:30:27.498,10474.43,5758.09,0.16
10:30:27.717,10448.44,5879.02,0.16
10:30:27.931,10424.74,6004.21,0.16
10:30:28.147,10121.82,5428.37,0.16
10:30:28.361,9409.93,5516.43,0.16
10:30:28.575,9123.47,4999.03,0.16
10:30:28.793,9093.76,5155.45,0.16
10:30:29.007,9065.48,5300.49,0.16
10:30:29.223,8792.51,4813.88,0.16
10:30:29.448,8675.14,4632.82,0.16
10:30:29.672,8516.05,4503.87,0.16
10:30:29.889,7761,4564.95,0.16
10:30:30.105,7516.74,4226.99,0.16
10:30:30.321,7275.2,3919.14,0.16
10:30:30.539,7261.85,4036.77,0.16
10:30:30.753,7032.51,3754.05,0.16
10:30:30.969,6122.83,3448.32,0.16
10:30:31.182,6107.25,3600.3,0.16
10:30:31.401,5904.9,3343.29,0.16
10:30:31.620,5716.79,3079.84,0.16
10:30:31.839,5539.53,2883.44,0.16
10:30:32.055,5369.62,2703.43,0.16
10:30:32.272,4823.44,2513.49,0.16
10:30:32.488,4451.26,2627.07,0.16
